指标类别,指标名称,量化数值,标准差 (SE),合格门槛
全图精度,总体精度 (OA),93.43%,±0.99%,≥ 85.0%
耕地精度,用户精度 (UA / 查准率),73.33%,±3.82%,错报率 = 26.67%
耕地精度,生产者精度 (PA / 查全率),97.29%,±2.64%,漏报率 = 2.71%
综合平衡,F1-Score,0.8363,-,≥ 0.8500
几何重合,交并比 (IoU),0.7187,-,0.75~0.85
