,真实: 非耕地 (0),真实: 耕地 (1),面积权重 (Wi),用户精度 (UA)
地图: 非耕地 (0),0.7664 (164),0.0047 (1),0.7711,99.39%
地图: 耕地 (1),0.0610 (36),0.1679 (99),0.2289,73.33%
无偏面积比例,0.8275,0.1725,1.0000,OA=93.43%
生产者精度 (PA),92.62%,97.29%,-,F1=0.8363
