指标类别,指标名称,量化数值,标准差 (SE),合格门槛
全图精度,总体精度 (OA),98.18%,±1.04%,≥ 85.0%
耕地精度,用户精度 (UA / 查准率),79.26%,±3.50%,错报率 = 20.74%
耕地精度,生产者精度 (PA / 查全率),1.22%,±0.70%,漏报率 = 98.78%
综合平衡,F1-Score,0.0241,-,≥ 0.8500
几何重合,交并比 (IoU),0.0122,-,0.75~0.85
