,真实: 非耕地 (0),真实: 耕地 (1),面积权重 (Wi),用户精度 (UA)
地图: 非耕地 (0),0.7674 (162),0.0142 (3),0.7816,98.18%
地图: 耕地 (1),0.0518 (32),0.1666 (103),0.2184,76.30%
无偏面积比例,0.8192,0.1808,1.0000,OA=93.40%
生产者精度 (PA),93.68%,92.14%,-,F1=0.8347
