,真实: 非耕地 (0),真实: 耕地 (1),面积权重 (Wi),用户精度 (UA)
地图: 非耕地 (0),0.7808 (163),0.0096 (2),0.7904,98.79%
地图: 耕地 (1),0.0606 (39),0.1491 (96),0.2096,71.11%
无偏面积比例,0.8413,0.1587,1.0000,OA=92.99%
生产者精度 (PA),92.80%,93.96%,-,F1=0.8095
