指标类别,指标名称,量化数值,标准差 (SE),合格门槛
全图精度,总体精度 (OA),92.99%,±1.06%,≥ 85.0%
耕地精度,用户精度 (UA / 查准率),71.11%,±3.92%,错报率 = 28.89%
耕地精度,生产者精度 (PA / 查全率),93.96%,±4.01%,漏报率 = 6.04%
综合平衡,F1-Score,0.8095,-,≥ 0.8500
几何重合,交并比 (IoU),0.6800,-,0.75~0.85
