区域/瓦片标识 (Scene ID),地理空间范围 (Bounds),全区总幅员 (km²),待验数像元面积 (km²),联合国无偏面积 (km²),无偏面积(万亩),直接数像元偏差率,解析标准误 (SE km²),变异系数 (CV%),95% 置信区间 (km²),总体精度 (OA),用户精度 (UA),生产者精度 (PA),F1-Score,交并比 (IoU),检验样点数,官方采信评级
Crop_111.0_45.0,"(111.0, 44.99998627715445, 114.00001372284555, 48.0)",111529.28,31.68,2052.34,307.85,-98.46%,±1163.26,56.68%,[0.0 ~ 4332.3],98.18%,79.26%,1.22%,0.0241,0.0122,300,⚠️ 抽样变异较大 (C级-需补样)
【跨区全景联合汇总 Grand Total】,涵盖 1 个独立农区瓦片,111529.28,31.68,2052.34,307.85,-98.46%,±1163.26,56.68%,[0.0 ~ 4332.3],98.18%,79.26%,1.22%,0.0241,-,300,⚠️ 抽样变异较大 (C级-需增加样方)
